State,Revenue
Nevada,15522524107
Pennsylvania,5864188609
New Jersey,5778250088
New York,4719891057
Michigan,3581089818
Ohio,3319385151
Indiana,2822519112
Louisiana,2696829296
Illinois,2523818362
Maryland,2496771889
Mississippi,2482769458
Iowa,1946076950
Missouri,1920936978
Massachusetts,1667656855
Colorado,1480228875
Virginia,1115075043
West Virginia,805854810
Rhode Island,707517058
Florida,690883826
Arkansas,686572224
Kansas,588285478
Connecticut,579858745
Arizona,557416315
Delaware,507020830
Tennessee,458381426
New Mexico,270889576
Maine,175082543
Oklahoma,151425332
South Dakota,147641202
Kentucky,112118424
Nebraska,89069298
New Hampshire,80288654
Oregon,64321325
District of Columbia,19048157
Wyoming,17293649
Montana,8451542
